pick,placeId,source,outcome,reason,needsPermissionFrom
Clearwater Beach and the Pier 60 sunset festival,,commons,photographed,,
The Dalí Museum,,commons,photographed,,
Caladesi Island by ferry,,flickr,photographed,,
The St. Pete Pier district,,commons,photographed,,
"Central Park, the new five-story food hall",,commons-search,gap,no-verified-source,Central Park
Clearwater Marine Aquarium,,commons,photographed,,
Sunken Gardens,,commons,photographed,,
Fort De Soto Park,,commons,photographed,,
Shell Key Preserve,ChIJ5_NkHLUcw4gRndvLQGe_Ox8,wf_place_photo+commons-search,gap,no-verified-source,
St. Pete's new fine-dining wave,,none,gap,not-a-place,
Shuffleboard Fridays at the world's oldest club,,commons,photographed,,
