pick,placeId,source,outcome,reason,needsPermissionFrom
Mallory Square's sunset celebration,,commons,photographed,,
The Duval Street crawl,,commons,photographed,,
The Hemingway Home's six-toed cats,,commons,photographed,,
Fort Zachary Taylor's beach and fort,,commons,photographed,,
Blue Heaven's pie under the bougainvillea,,commons,photographed,,
Snorkeling the continental US's only living reef,,,gap,not-a-place,
"The Reserve, the new bank takeover",,,gap,no-verified-source,The Reserve Key West
"The Southernmost Point buoy, temporary edition",,,gap,no-verified-source,City of Key West (public agency)
August's festival stack: Lobsterfest and Rum Fest,,,gap,not-a-place,
Papa's Pilar rum distillery,,,gap,no-verified-source,Papa's Pilar Distillery
