name,area,category,confidence,google_query,note
Selva Grill,Sarasota,food,high,"Selva Grill Sarasota FL",Downtown Latin/Peruvian
Owens Fish Camp,Sarasota,food,high,"Owens Fish Camp Sarasota FL",Burns Court seafood; high foot traffic
Indigenous,Sarasota,food,high,"Indigenous Sarasota FL",Chef Steve Phelps; sustainable seafood
Michael's On East,Sarasota,food,high,"Michael's On East Sarasota FL",Longtime fine dining
Duval's,Sarasota,food,high,"Duval's Fresh Local Seafood Sarasota FL",Downtown seafood
Cafe Barbosso,Sarasota,food,high,"Cafe Barbosso Sarasota FL",Italian
Morton's Market,Sarasota,food,high,"Morton's Market Sarasota FL",Gourmet deli/lunch counter
Marina Jack,Sarasota,food,high,"Marina Jack Sarasota FL",Bayfront dining + live music
Mirna's Cuban Cuisine,Sarasota,food,high,"Mirna's Cuban Cuisine Sarasota FL",North Tamiami Cuban
Olive Eats,Sarasota,food,medium,"Olive Eats Sarasota FL",Middle Eastern; North Tamiami
Mimi's Brasserie,Sarasota,food,high,"Mimi's Brasserie Southside Village Sarasota FL",Southside Village French; opened Dec 2025
Florence and the Spice Boys,Sarasota,food,high,"Florence and the Spice Boys Sarasota FL",Middle Eastern
Ringside,St. Armands,food,high,"Ringside Cirque St Armands Sarasota FL",Inside Cirque St. Armands; Lido views
Station 400,Sarasota,food,high,"Station 400 Sarasota FL",Breakfast
Mademoiselle Paris,Sarasota,food,high,"Mademoiselle Paris French Restaurant Bakery Sarasota FL",French bakery/breakfast
The Breakfast Cottage,Sarasota,food,medium,"The Breakfast Cottage Sarasota FL",Breakfast
Sun Garden Cafe,Siesta Key,food,medium,"Sun Garden Cafe Siesta Key FL",Breakfast; Siesta Key
Toastique Sarasota,Sarasota,food,medium,"Toastique Sarasota FL",Brunch
FOOD+BEER,Sarasota,food,medium,"FOOD and BEER Sarasota FL",Brunch/pancakes
Focaccia Sandwich + Bakery,Sarasota,food,high,"Focaccia Sandwich Bakery Sarasota FL",Sandwiches/bakery
Arts & Central,Sarasota,food,high,"Arts and Central Sarasota FL",Rosemary District
Mouthole Smashburgers and BBQ,Sarasota,food,medium,"Mouthole Smashburgers BBQ Sarasota FL",Burgers/BBQ
Fin & Tonic,Sarasota,food,medium,"Fin and Tonic Sarasota FL",Sandwiches
The 1818 Grill,Sarasota,food,medium,"1818 Grill Sarasota FL",Lunch
Lefty's Oyster & Seafood Bar,Sarasota,food,medium,"Lefty's Oyster Seafood Bar Sarasota FL",Seafood
Rufa,Sarasota,food,medium,"Rufa Sarasota FL",Lunch
Peruvian Grill Sarasota,Sarasota,food,medium,"Peruvian Grill Sarasota FL",Peruvian/ceviche
El Ceviche,Sarasota,food,medium,"El Ceviche Sarasota FL",Ceviche
Aji Ceviche Bar,Sarasota,food,medium,"Aji Ceviche Bar Sarasota FL",Ceviche
Big Water Fish Market,Sarasota,food,medium,"Big Water Fish Market Sarasota FL",Seafood market
Siesta Key Summer House Steak & Seafood,Siesta Key,food,high,"Summer House Steak Seafood Siesta Key FL",Steak/seafood
Kolucan Mexican Bar & Grill,Sarasota,food,medium,"Kolucan Mexican Bar Grill Sarasota FL",Mexican
C'est La Vie,Sarasota,food,high,"C'est La Vie Main Street Sarasota FL",Bakery/restaurant; Main St
Tsunami Sushi & Hibachi,Sarasota,food,medium,"Tsunami Sushi Hibachi Sarasota FL",Sushi/hibachi
Columbia Restaurant,St. Armands,food,high,"Columbia Restaurant St Armands Circle Sarasota FL",Spanish; St. Armands Circle
Euphemia Haye,Longboat Key,food,verify,"Euphemia Haye Longboat Key FL","STATUS UNCERTAIN: reported closed then reportedly reopened under new owners post-hurricane; confirm before listing"
99 Bottles,Sarasota,bar,high,"99 Bottles Sarasota FL",Downtown beer bar
The Ringling,Sarasota,attraction,high,"The Ringling Museum Sarasota FL",Art/circus museum
Marie Selby Botanical Gardens,Sarasota,attraction,high,"Marie Selby Botanical Gardens Sarasota FL",Gardens
Mote Marine Laboratory & Aquarium,Sarasota,attraction,high,"Mote Marine Aquarium Sarasota FL",Aquarium
Myakka River State Park,Sarasota,attraction,high,"Myakka River State Park Sarasota FL",State park; canopy walk
Sarasota Opera House,Sarasota,attraction,high,"Sarasota Opera House Sarasota FL",Historic theater
Fiorelli Winery & Vineyard,Bradenton,attraction,medium,"Fiorelli Winery Vineyard Bradenton FL",Winery
The Bay Park,Sarasota,attraction,high,"The Bay Park Sarasota FL",Bayfront park
Burns Court Cinema,Sarasota,attraction,medium,"Burns Court Cinema Sarasota FL",Indie cinema
Elysian Fields,Sarasota,attraction,low,"Elysian Fields Sarasota FL",Metaphysical shop
Lido Beach,Sarasota,beach,high,"Lido Beach Sarasota FL",Beach
Siesta Key Beach,Siesta Key,beach,high,"Siesta Key Beach FL",Beach
St. Armands Circle,St. Armands,attraction,high,"St Armands Circle Sarasota FL",Shopping/dining district
The St. Regis Longboat Key Resort,Longboat Key,hotel,high,"St Regis Longboat Key Resort FL",Luxury resort
Der Dutchman,Sarasota,food,medium,"Der Dutchman Restaurant Sarasota FL",Amish/Pinecraft
Beach House Waterfront Restaurant,Bradenton Beach,food,high,"Beach House Waterfront Restaurant Bradenton Beach FL",Gulf-front; farm-to-table
Wicked Cantina,Bradenton Beach,food,high,"Wicked Cantina Bradenton Beach FL",Mexican; happy hour
Anna Maria Oyster Bar,Bradenton,food,high,"Anna Maria Oyster Bar Bradenton FL",Multiple locations; seafood
Bridge Street Bistro,Bradenton Beach,food,high,"Bridge Street Bistro Bradenton Beach FL",Waterfront fine dining
Smoqehouse,Bradenton Beach,food,medium,"Smoqehouse Bradenton Beach FL",BBQ
Coquina Beach Cafe,Bradenton Beach,food,medium,"Coquina Beach Cafe Bradenton Beach FL",Breakfast
Gulf Drive Cafe,Bradenton Beach,food,medium,"Gulf Drive Cafe Bradenton Beach FL",Breakfast; on the water
Pier 22,Bradenton,food,high,"Pier 22 Bradenton FL",Manatee River fine dining
Skinny's Place,Holmes Beach,food,medium,"Skinny's Place Holmes Beach FL",Old Florida burgers; est. 1952
The Sandbar Restaurant,Anna Maria,food,high,"Sandbar Restaurant Anna Maria FL",Waterfront; sunset
The Ugly Grouper,Holmes Beach,food,high,"Ugly Grouper Holmes Beach FL",Live music; family
The Waterfront Restaurant,Anna Maria,food,high,"Waterfront Restaurant Anna Maria FL",Near City Pier
Beach Bistro,Holmes Beach,food,high,"Beach Bistro Holmes Beach FL",Fine dining institution
The Doctor's Office,Anna Maria,bar,medium,"The Doctor's Office Anna Maria FL",Upscale craft cocktails; adults
Rod n Reel Pier,Anna Maria,food,medium,"Rod and Reel Pier Anna Maria FL",Historic pier seafood
Poppo's Taqueria,Anna Maria,food,medium,"Poppo's Taqueria Anna Maria FL",Tacos
Sign of the Mermaid,Anna Maria,food,medium,"Sign of the Mermaid Anna Maria FL",Local favorite
Blue Marlin Grill,Bradenton Beach,food,medium,"Blue Marlin Grill Bradenton Beach FL",Seafood
Island Creperie,Anna Maria,food,medium,"Island Creperie Anna Maria FL",Crepes/breakfast
The Donut Experiment,Anna Maria,food,medium,"The Donut Experiment Anna Maria FL",Made-to-order donuts
Bridge Tender Inn & Dockside Bar,Bradenton Beach,bar,medium,"Bridge Tender Inn Dockside Bar Bradenton Beach FL",Waterfront bar/food
O'Bricks,Bradenton,bar,medium,"O'Bricks Irish Pub Bradenton FL",Irish pub/brunch
Chateau 13,Bradenton,food,medium,"Chateau 13 Bradenton FL",Tapas fine dining
enRich Bistro,Bradenton,food,medium,"enRich Bistro Bradenton FL",Family/eclectic
Joey D's,Bradenton,food,medium,"Joey D's Chicago Style Bradenton FL",Chicago pizza
Oma'z Pizza and Italian,Bradenton Beach,food,low,"Oma'z Pizza Italian Bradenton Beach FL",Pizza/Italian
Calusa Brewing,Sarasota,bar,high,"Calusa Brewing Sarasota FL",Craft brewery; Sarasota Magazine pick
Big Top Brewing Company,Sarasota,bar,high,"Big Top Brewing Company Sarasota FL",Brewery; multiple locations
Motorworks Brewing,Bradenton,bar,high,"Motorworks Brewing Bradenton FL",Beer garden; live music
