pick,placeId,source,outcome,reason,needsPermissionFrom
"The Ringling","","commons","photographed","",""
"Kayak Lido's mangrove tunnels","","commons","photographed","",""
"Pinecraft","","commons","photographed","",""
"Marie Selby Botanical Gardens","","commons","photographed","",""
"Mote Marine Laboratory","","commons","photographed","",""
"Sarasota Farmers Market","","","gap","no-verified-source",""
"Myakka River State Park","","commons","photographed","",""
"Sarasota Jungle Gardens","","commons","photographed","",""
"Ride the Legacy Trail","","commons","photographed","",""
"The Celery Fields","","","gap","no-verified-source",""
