pick,placeId,source,outcome,reason,needsPermissionFrom
Fort Lauderdale Beach and the reef offshore,,commons,photographed,,
Las Olas Beach at sunrise,,none,gap,public-art,City of Fort Lauderdale (public agency)
The Water Taxi through the Venice of America,,,gap,not-a-place,
Pier Sixty-Six and the rotating Pier Top,,,gap,no-verified-source,Pier Sixty-Six Hotel & Marina
Las Olas Boulevard's restaurant wave,,,gap,not-a-place,
"The Fort, the world's first pickleball stadium",ChIJxarXNwCr2YgRZvrLZ_ZW9dQ,,gap,google-only,The FORT pickleball stadium (Fort Lauderdale)
"Huizenga Park, rebuilt",ChIJLzMH2FcA2YgRyz8FN7F7OOY,,gap,google-only,Huizenga Park (Fort Lauderdale)
An Everglades airboat morning,,,gap,not-a-place,
Puttshack at Dania Beach,ChIJT1fY8CWr2YgRPfvi-_9cSiU,,gap,google-only,Puttshack - Dania Beach
Peppi's Pizza after the One Bite review,,,gap,no-verified-source,Peppi's Pizza (Fort Lauderdale)
