pick,placeId,source,outcome,reason,needsPermissionFrom
Halloween Horror Nights 35,,commons:Universal_Studios_Florida.jpg,photographed,,
Howl-O-Scream at SeaWorld Orlando,,commons:SeaWorld_Orlando_lighthouse.jpg,photographed,,
Mickey's Not-So-Scary Halloween Party,,"commons:Cinderella_Castle,_Magic_Kingdom_Walt_Disney_World_(2024).jpg",photographed,,
Visit Orlando's Magical Dining,,,gap,not-a-place,
EPCOT International Food & Wine Festival,,commons:Walt_Disney_World_Epcot_Spaceship_Earth_(50099574831).jpg,photographed,,
SeaWorld Halloween Spooktacular,,commons:SeaWorld_Entrance_(33129763620).jpg,photographed,,
Brick-or-Treat at LEGOLAND Florida,,"commons:Winter_Haven,_Florida_-_Legoland_Florida.jpg",photographed,,
Come Out With Pride,,"commons:Lake_Eola_Park_in_downtown_Orlando,_FL.jpg",photographed,,
Orlando International Dragon Boat Festival & Asian Cultural Expo,,"commons:Bill_Frederick_Park,_Turkey_Lake.JPG",photographed,,
"Gators, Ghosts & Goblins at Gatorland",,commons:Alligator_at_the_Gatorland.jpg,photographed,,
Green Meadows Farm Fall,,,gap,no-verified-source,Green Meadows Petting Farm
Candlelight: A Haunted Evening of Halloween Classics,,,gap,no-verified-source,The Abbey Orlando
EDC Orlando,,commons:Orlando_Tinker_Field05.jpg,photographed,,
Vans Warped Tour Orlando,,commons:Camping_World_Stadium.jpg,photographed,,
Fall concerts at Kia Center,,commons:Amway_Center-2.jpg,photographed,,
Walt Disney World Swan and Dolphin Food & Wine Classic,,commons:Dolphin_Hotel_(49560737946).jpg,photographed,,
Florida Blue Florida Classic,,commons:Camping_World_Stadium.jpg,photographed,,
FusionFest,,commons:Orlando_FL_Science_Center02.jpg,photographed,,
